date,action,symbol,qty,price,notional,score,reason,cash_after,equity_after
2007-10-11,BUY,BIDU,3236.0,30.878,99921.21,1.0,score=+1.00 sector=china_tech,28.83,99950.04
2007-10-12,SELL,BIDU,3236.0,32.298,104516.33,0.0,score=+0.00 <= exit_thr=+0.00,104492.9,104492.9
2007-10-24,BUY,BIDU,3108.0,33.6,104428.8,1.0,score=+1.00 sector=china_tech,11.89,104440.69
2007-10-25,SELL,BIDU,3108.0,33.43,103900.44,0.0,score=+0.00 <= exit_thr=+0.00,103860.38,103860.38
2007-10-29,BUY,BIDU,2840.0,36.55,103802.0,1.0,score=+1.00 sector=china_tech,6.48,103808.48
2007-11-01,SELL,BIDU,2840.0,38.595,109609.8,0.0,score=+0.00 <= exit_thr=+0.00,109561.48,109561.48
2007-11-02,BUY,BIDU,2677.0,40.9,109489.3,1.0,score=+1.00 sector=china_tech,17.43,109506.74
2007-11-09,SELL,BIDU,2677.0,34.295,91807.71,0.0,score=+0.00 <= exit_thr=+0.00,91779.24,91779.24
2008-08-29,BUY,QUBT,50.0,360.0,18000.0,1.0,score=+1.00 sector=quantum,73770.24,91770.24
2008-09-02,SELL,QUBT,50.0,360.0,18000.0,0.0,score=+0.00 <= exit_thr=+0.00,91761.24,91761.24
2009-11-12,BUY,MELI,2088.0,43.9247,91714.71,1.0,score=+1.00 sector=other,0.68,91715.38
2009-12-04,SELL,MELI,2088.0,50.0875,104582.69,0.0,score=+0.00 <= exit_thr=+0.00,104531.07,104531.07
2009-12-04,BUY,DIOD,5298.0,19.72,104476.56,1.0,score=+1.00 sector=semiconductors,2.28,104478.83
2009-12-14,SELL,DIOD,5298.0,20.4,108079.2,0.0,score=+0.00 <= exit_thr=+0.00,108027.44,108027.44
2009-12-14,BUY,MU,12316.0,8.7665,107968.0,1.0,score=+1.00 sector=semiconductors,5.46,107973.45
2009-12-21,SELL,MU,12316.0,9.0785,111811.16,0.0,score=+0.00 <= exit_thr=+0.00,111760.71,111760.71
2009-12-21,BUY,AMD,11721.0,9.53,111701.13,1.0,score=+1.00 sector=ai_infra,3.73,111704.86
2009-12-31,SELL,AMD,11721.0,9.68,113459.28,0.0,score=+0.00 <= exit_thr=+0.00,113406.28,113406.28
2009-12-31,BUY,STX,12060.0,9.3982,113342.72,1.0,score=+1.00 sector=cloud_infra,6.89,113349.61
2010-01-04,SELL,STX,12060.0,9.7599,117704.41,0.0,score=+0.00 <= exit_thr=+0.00,117652.45,117652.45
2010-01-04,BUY,AMD,12123.0,9.7,117593.1,1.0,score=+1.00 sector=ai_infra,0.55,117593.65
2010-01-06,SELL,AMD,12123.0,9.57,116017.11,0.0,score=+0.00 <= exit_thr=+0.00,115959.65,115959.65
2010-01-14,BUY,STX,12231.0,9.4757,115897.72,1.0,score=+1.00 sector=cloud_infra,3.98,115901.7
2010-01-19,SELL,STX,12231.0,9.3827,114760.23,0.0,score=+0.00 <= exit_thr=+0.00,114706.83,114706.83
2010-01-19,BUY,BIDU,2600.0,44.084,114618.4,1.0,score=+1.00 sector=china_tech,31.13,114649.53
2010-01-20,SELL,BIDU,2600.0,43.967,114314.2,0.0,score=+0.00 <= exit_thr=+0.00,114288.17,114288.17
2010-01-20,BUY,STX,12448.0,9.1761,114223.69,1.0,score=+1.00 sector=cloud_infra,7.37,114231.05
2010-01-21,SELL,STX,12448.0,10.0699,125350.2,0.0,score=+0.00 <= exit_thr=+0.00,125294.9,125294.9
2010-01-21,BUY,ACLS,18202.0,6.88,125229.76,1.0,score=+1.00 sector=semiconductors,2.52,125232.28
2010-01-22,SELL,ACLS,18202.0,6.4,116492.8,0.0,score=+0.00 <= exit_thr=+0.00,116437.08,116437.08
2010-01-22,BUY,STX,12241.0,9.5067,116371.95,1.0,score=+1.00 sector=cloud_infra,6.94,116378.89
2010-01-28,SELL,STX,12241.0,9.4861,116119.01,0.0,score=+0.00 <= exit_thr=+0.00,116067.89,116067.89
2010-01-28,BUY,ACLS,18955.0,6.12,116004.6,1.0,score=+1.00 sector=semiconductors,5.29,116009.89
2010-02-05,SELL,ACLS,18955.0,6.36,120553.8,0.0,score=+0.00 <= exit_thr=+0.00,120498.82,120498.82
2010-02-05,BUY,STX,12935.0,9.3104,120430.04,1.0,score=+1.00 sector=cloud_infra,8.57,120438.6
2010-02-10,SELL,STX,12935.0,9.5481,123504.32,0.0,score=+0.00 <= exit_thr=+0.00,123451.14,123451.14
2010-02-10,BUY,ACLS,19901.0,6.2,123386.2,1.0,score=+1.00 sector=semiconductors,3.25,123389.44
2010-02-11,SELL,ACLS,19901.0,6.52,129754.52,0.0,score=+0.00 <= exit_thr=+0.00,129692.89,129692.89
2010-02-11,BUY,STX,13373.0,9.6927,129620.99,1.0,score=+1.00 sector=cloud_infra,7.09,129628.08
2010-02-19,SELL,STX,13373.0,10.5969,141712.5,0.0,score=+0.00 <= exit_thr=+0.00,141648.73,141648.73
2010-02-19,BUY,ENTG,28565.0,4.9562,141574.27,1.0,score=+1.00 sector=semiconductors,3.67,141577.94
2010-02-22,SELL,ENTG,28565.0,4.9562,141574.27,0.0,score=+0.00 <= exit_thr=+0.00,141507.15,141507.15
2010-02-22,BUY,ACLS,20321.0,6.96,141434.16,1.0,score=+1.00 sector=semiconductors,2.27,141436.43
2010-02-23,SELL,ACLS,20321.0,6.72,136557.12,0.0,score=+0.00 <= exit_thr=+0.00,136491.11,136491.11
2010-02-23,BUY,ENTG,30401.0,4.4874,136420.91,1.0,score=+1.00 sector=semiconductors,1.99,136422.9
2010-02-24,SELL,ENTG,30401.0,4.3917,133512.21,0.0,score=+0.00 <= exit_thr=+0.00,133447.44,133447.44
2010-02-24,BUY,ACLS,20209.0,6.6,133379.4,1.0,score=+1.00 sector=semiconductors,1.35,133380.75
2010-03-01,SELL,ACLS,20209.0,6.84,138229.56,0.0,score=+0.00 <= exit_thr=+0.00,138161.8,138161.8
2010-03-01,BUY,STX,12518.0,11.0309,138085.04,1.0,score=+1.00 sector=cloud_infra,7.72,138092.76
2010-03-02,SELL,STX,12518.0,10.8552,135885.98,0.0,score=+0.00 <= exit_thr=+0.00,135825.75,135825.75
2010-03-02,BUY,ENTG,29683.0,4.5735,135755.08,1.0,score=+1.00 sector=semiconductors,2.79,135757.87
2010-03-04,SELL,ENTG,29683.0,4.6405,137743.1,0.0,score=+0.00 <= exit_thr=+0.00,137677.02,137677.02
2010-03-04,BUY,ACLS,20118.0,6.84,137607.12,1.0,score=+1.00 sector=semiconductors,1.09,137608.22
2010-03-23,SELL,ACLS,20118.0,6.56,131974.08,0.0,score=+0.00 <= exit_thr=+0.00,131909.19,131909.19
2010-03-23,BUY,ENTG,27614.0,4.7744,131840.91,1.0,score=+1.00 sector=semiconductors,2.36,131843.27
2010-03-26,SELL,ENTG,27614.0,4.7744,131840.91,0.0,score=+0.00 <= exit_thr=+0.00,131777.35,131777.35
2010-03-26,BUY,ACLS,20077.0,6.56,131705.12,1.0,score=+1.00 sector=semiconductors,6.37,131711.49
2010-03-30,SELL,ACLS,20077.0,6.72,134917.44,0.0,score=+0.00 <= exit_thr=+0.00,134856.35,134856.35
2010-03-30,BUY,ENTG,28006.0,4.8127,134784.32,1.0,score=+1.00 sector=semiconductors,4.64,134788.96
2010-04-06,SELL,ENTG,28006.0,4.8127,134784.32,0.0,score=+0.00 <= exit_thr=+0.00,134721.57,134721.57
2010-04-06,BUY,ACLS,16916.0,7.96,134651.36,1.0,score=+1.00 sector=semiconductors,2.88,134654.24
2010-05-21,SELL,ACLS,16916.0,7.76,131268.16,0.0,score=+0.00 <= exit_thr=+0.00,131205.41,131205.41
2010-05-24,BUY,ACLS,18113.0,7.24,131138.12,1.0,score=+1.00 sector=semiconductors,1.73,131139.84
2010-05-25,SELL,ACLS,18113.0,7.04,127515.52,0.0,score=+0.00 <= exit_thr=+0.00,127453.49,127453.49
2010-06-23,BUY,CRUS,7432.0,17.14,127384.48,1.0,score=+1.00 sector=semiconductors,5.32,127389.8
2010-06-25,SELL,CRUS,7432.0,16.76,124560.32,0.0,score=+0.00 <= exit_thr=+0.00,124503.36,124503.36
2010-07-14,BUY,CRUS,6848.0,18.17,124428.16,1.0,score=+1.00 sector=semiconductors,12.99,124441.15
2010-07-16,SELL,CRUS,6848.0,17.16,117511.68,0.0,score=+0.00 <= exit_thr=+0.00,117465.91,117465.91
2010-07-23,BUY,CRUS,5923.0,19.82,117393.86,1.0,score=+1.00 sector=semiconductors,13.35,117407.21
2010-07-26,SELL,CRUS,5923.0,20.54,121658.43,0.0,score=+0.00 <= exit_thr=+0.00,121610.95,121610.95
2010-08-09,BUY,CRUS,5958.0,20.4,121543.2,1.0,score=+1.00 sector=semiconductors,6.98,121550.18
2010-08-11,SELL,CRUS,5958.0,18.66,111176.28,0.0,score=+0.00 <= exit_thr=+0.00,111127.67,111127.67
2011-05-09,BUY,IPGP,1628.0,68.22,111062.16,1.0,score=+1.00 sector=semiconductors,9.98,111072.14
2011-05-10,SELL,IPGP,1628.0,69.7,113471.6,0.0,score=+0.00 <= exit_thr=+0.00,113424.84,113424.84
2011-05-20,BUY,IPGP,1604.0,70.67,113354.68,1.0,score=+1.00 sector=semiconductors,13.48,113368.16
2011-06-16,SELL,IPGP,1604.0,63.18,101340.72,0.0,score=+0.00 <= exit_thr=+0.00,101303.53,101303.53
2011-06-23,BUY,IPGP,1536.0,65.9,101222.4,1.0,score=+1.00 sector=semiconductors,30.52,101252.92
2011-06-27,SELL,IPGP,1536.0,68.7,105523.2,0.0,score=+0.00 <= exit_thr=+0.00,105500.95,105500.95
2011-06-28,BUY,IPGP,1464.0,72.01,105422.64,1.0,score=+1.00 sector=semiconductors,25.6,105448.24
2011-07-26,SELL,IPGP,1464.0,64.95,95086.8,0.0,score=+0.00 <= exit_thr=+0.00,95064.85,95064.85
2013-07-15,BUY,TSLA,11199.0,8.484,95012.32,1.0,score=+1.00 sector=mega_cap_tech,5.03,95017.35
2013-07-17,SELL,TSLA,11199.0,8.0167,89778.66,0.0,score=+0.00 <= exit_thr=+0.00,89738.8,89738.8
2013-07-26,BUY,TSLA,10398.0,8.626,89693.15,1.0,score=+1.00 sector=mega_cap_tech,0.8,89693.95
2013-08-09,SELL,TSLA,10398.0,10.2,106059.6,0.0,score=+0.00 <= exit_thr=+0.00,106007.37,106007.37
2013-08-09,BUY,NFLX,29344.0,3.6107,105952.79,1.0,score=+1.00 sector=other,1.6,105954.39
2013-08-15,SELL,NFLX,29344.0,3.6201,106229.47,0.0,score=+0.00 <= exit_thr=+0.00,106177.96,106177.96
2013-08-15,BUY,TSLA,11397.0,9.3113,106121.26,1.0,score=+1.00 sector=mega_cap_tech,3.64,106124.9
2013-11-08,SELL,TSLA,11397.0,9.1967,104814.41,0.0,score=+0.00 <= exit_thr=+0.00,104765.64,104765.64
2013-11-08,BUY,NFLX,21886.0,4.7843,104708.88,1.0,score=+1.00 sector=other,4.4,104713.29
2013-12-16,SELL,NFLX,21886.0,5.233,114529.43,0.0,score=+0.00 <= exit_thr=+0.00,114476.57,114476.57
2013-12-20,BUY,NFLX,21320.0,5.3667,114418.34,1.0,score=+1.00 sector=other,1.02,114419.36
